Name,Area Type,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,,2011-12 Changes,2012-13 Changes,2013-14 Changes,2014-15 Changes,2015-16 Changes,2016-17 Changes,2017-18 Changes,2018-19 Changes,2019-20 Changes,2020-21 Changes,2021-22 Changes,2022-23 Changes,2023-24 Changes,2024-25 Changes
Vancouver,CY,"622,467","632,232","642,993","653,125","656,696","664,913","670,405","679,603","694,569","701,145","696,031","708,220","732,005","748,788","740,454",,1.60%,1.70%,1.60%,0.50%,1.30%,0.80%,1.40%,2.20%,0.90%,-0.70%,1.80%,3.40%,2.30%,-1.10%
Surrey,CY,"482,063","496,869","508,959","522,467","530,349","543,495","553,188","563,844","578,429","589,554","597,141","618,908","652,371","690,159","703,531",,3.10%,2.40%,2.70%,1.50%,2.50%,1.80%,1.90%,2.60%,1.90%,1.30%,3.60%,5.40%,5.80%,1.90%
Burnaby,CY,"229,632","233,908","236,245","240,584","240,798","244,567","246,515","250,241","255,248","258,706","261,800","271,239","283,910","296,109","299,682",,1.90%,1.00%,1.80%,0.10%,1.60%,0.80%,1.50%,2.00%,1.40%,1.20%,3.60%,4.70%,4.30%,1.20%
Richmond,CY,"194,973","197,055","200,441","203,218","204,463","207,610","209,599","212,855","216,794","218,916","221,178","228,349","235,936","242,142","239,584",,1.10%,1.70%,1.40%,0.60%,1.50%,1.00%,1.60%,1.90%,1.00%,1.00%,3.20%,3.30%,2.60%,-1.10%
Abbotsford,CY,"136,894","138,403","140,321","141,891","144,475","148,121","150,566","153,940","157,306","159,139","160,759","163,767","168,365","171,949","175,358",,1.10%,1.40%,1.10%,1.80%,2.50%,1.70%,2.20%,2.20%,1.20%,1.00%,1.90%,2.80%,2.10%,2.00%
Coquitlam,CY,"130,540","134,122","137,870","141,261","143,552","146,146","148,351","149,904","151,619","153,449","155,554","160,415","166,491","172,819","173,599",,2.70%,2.80%,2.50%,1.60%,1.80%,1.50%,1.00%,1.10%,1.20%,1.40%,3.10%,3.80%,3.80%,0.50%
Kelowna,CY,"120,013","121,824","123,677","126,400","129,504","133,381","136,388","140,289","144,178","147,826","151,516","155,921","160,320","164,947","167,654",,1.50%,1.50%,2.20%,2.50%,3.00%,2.30%,2.90%,2.80%,2.50%,2.50%,2.90%,2.80%,2.90%,1.60%
"Langley, District Municipality",DM,"106,660","109,593","112,732","115,782","118,728","122,977","126,952","130,658","133,383","135,885","138,426","146,351","153,977","161,841","163,885",,2.70%,2.90%,2.70%,2.50%,3.60%,3.20%,2.90%,2.10%,1.90%,1.90%,5.70%,5.20%,5.10%,1.30%
Saanich,DM,"112,014","113,278","115,057","116,064","116,881","119,209","119,841","120,312","121,795","122,584","122,889","124,028","124,465","126,219","126,011",,1.10%,1.60%,0.90%,0.70%,2.00%,0.50%,0.40%,1.20%,0.60%,0.20%,0.90%,0.40%,1.40%,-0.20%
Delta,CY,"101,845","102,749","103,604","105,025","105,366","106,585","107,643","109,488","111,043","112,454","113,091","115,592","119,651","124,168","124,670",,0.90%,0.80%,1.40%,0.30%,1.20%,1.00%,1.70%,1.40%,1.30%,0.60%,2.20%,3.50%,3.80%,0.40%
Nanaimo,CY,"85,582","86,886","88,257","90,090","92,142","94,395","96,728","98,877","101,172","102,726","104,022","106,338","108,228","110,580","111,845",,1.50%,1.60%,2.10%,2.30%,2.40%,2.50%,2.20%,2.30%,1.50%,1.30%,2.20%,1.80%,2.20%,1.10%
Kamloops,CY,"87,635","88,636","89,815","90,972","92,185","94,487","96,339","99,068","100,625","101,764","102,271","104,468","106,809","108,652","108,793",,1.10%,1.30%,1.30%,1.30%,2.50%,2.00%,2.80%,1.60%,1.10%,0.50%,2.10%,2.20%,1.70%,0.10%
Maple Ridge,CY,"77,918","79,171","80,026","81,649","83,193","86,404","88,950","91,556","92,390","93,115","95,107","98,559","102,080","105,820","105,925",,1.60%,1.10%,2.00%,1.90%,3.90%,2.90%,2.90%,0.90%,0.80%,2.10%,3.60%,3.60%,3.70%,0.10%
Chilliwack,CY,"79,707","80,893","81,945","83,317","85,026","87,695","90,126","92,806","94,560","95,818","97,222","98,771","100,303","103,645","105,520",,1.50%,1.30%,1.70%,2.10%,3.10%,2.80%,3.00%,1.90%,1.30%,1.50%,1.60%,1.60%,3.30%,1.80%
